response_id,survey_name,survey_group,response_date,response_month,county,sub_county,organization,facility_name,facility_ownership,gender,age_group,education_level,marital_status,user_type,satisfaction,access_challenge,equipment_adequate,confidentiality,rights_awareness,comfortable_at_facility,counseled,sentiment_score,sentiment_label,themes,snippet,positive_text,concern_text,improvement_text,access_text,highlight_text,additional_text,mental_challenges,mental_support_sought,mental_network_response,mental_support_needed
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Makueni,,WOFAK,Kasikeu Health Centre,GOK,Unknown,45-54,Secondary school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.9382,Positive,"staff_attitude, food_transport_support, equipment_space, confidentiality_stigma, access_cost",Limited CCC space,Friendly staff and good services,Limited CCC space,Improve disclosure system,Support clients with food and transport allowance,Comprehensive care and support to PLHIVs,No additional information,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Kandiege Sub-District Hospital,GOK,Female,35-44,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.6784,Positive,"medicines_supplies, food_transport_support",Nothing,Good service delivery,Nothing,Adherence support,Adequate supply of drugs,Good time management,Food supplement support,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Secondary school,Single,Unknown,Satisfied,Yes,Yes,Yes,Yes,Yes,No,0.033,Mixed / Neutral,"staff_attitude, access_cost",X-ray charges were costly,Nothing,X-ray charges were costly,Charges should go down,More providers to be employed,No charges at all for ARVs,Norh6,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Secondary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,No,-0.2732,Negative,access_cost,Nothing,Affordable charges,Nothing,Nothing,Do not know,Do not know,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03 15:02:36,2023-04,Unknown,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,No,0.6905,Positive,access_cost,Nothing,Cost effective,Nothing,Nothing,Do not know,No charges for care and treatment services,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub-Couty Hospital,GOK,Female,18-24,Vocational training or technician,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Other,0.4939,Positive,"staff_attitude, access_cost",Nothing,Cost friendly,Nothing,Nothing,Do not know,Nothing,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Primary school,Married,Unknown,Satisfied,Yes,Yes,Yes,Yes,Yes,No,0.5859,Positive,,None at all,The service delivery was amazing,None at all,Do not know,Do not know,Do not know,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,,Suba Sub County Hospital,GOK,Female,18-24,Secondary school,Married,Unknown,Satisfied,Yes,Yes,Yes,Yes,Yes,No,0.802,Positive,"staff_attitude, access_cost",Nothing,Friendly and cost effective,Nothing,Do not know,Providers should be flexible,Do not know,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,25-34,Primary school,Married,Unknown,Satisfied,No,No,Yes,Yes,Yes,Yes,0.7445,Positive,,Nothing,No charges,Nothing,Do not know,Nothing,Care and treatment services are free,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,25-34,Nursery/Pre-school,Married,Unknown,Satisfied,Yes,Yes,Yes,Yes,Yes,No,0.4352,Positive,"staff_attitude, access_cost",The service provider was not friendly,Affordable cost,The service provider was not friendly,All providers should be friendly and calm to clients,,Do not know,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Nursery/Pre-school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.2057,Positive,,Nothing,No charges,Nothing,Do not know,Do not know,Nothing,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Male,18-24,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,No,0.2057,Positive,,Nothing,No charges,Nothing,Nothing,Do not know,Do not know,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Mariakani District (Sub Couty) Hospital,GOK,Female,25-34,Primary school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.2833,Positive,"medicines_supplies, confidentiality_stigma",No comment,The services are good and offered without discrimination,No comment,No comment,Satisfied,1.free drugs 2.privacy 3.councelling,No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Mariakani District (Sub Couty) Hospital,GOK,Male,45-54,Never attended school,Widowed,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,-0.6808,Negative,"staff_attitude, wait_time, medicines_supplies, food_transport_support, equipment_space, confidentiality_stigma, access_cost",No comment,Drugs are available anytime in need,No comment,Staffs to work fast to avoid delays,Provide transport to clinic because I stay far from the facility,1.free drugs 2.friendly staffs 3.privacy,No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub-Couty Hospital,GOK,Female,18-24,Primary school,Single,Unknown,Satisfied,Yes,Yes,Yes,No,Yes,No,0.5878,Positive,access_cost,Nothing,Affordable,Nothing,Nothing,The clinic should be open early or at least there should be care giver for an emergency,No charges,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Mariakani District (Sub Couty) Hospital,GOK,Male,35-44,Primary school,Separated,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.066,Mixed / Neutral,"staff_attitude, medicines_supplies, food_transport_support, access_cost",No comment,The services are good and offered without discrimination,No comment,Satisfied,Provide transport to clinic,1.free drugs 2.friendly staffs 3.follow-ups,No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Nursery/Pre-school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,No,0.3813,Positive,"staff_attitude, access_cost",Nothing,Friendly and affordable,Nothing,Do not know,Do not know,No charges,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Mariakani District (Sub Couty) Hospital,GOK,Male,45-54,Primary school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,0.3459,Positive,"staff_attitude, medicines_supplies, food_transport_support, confidentiality_stigma, access_cost",No comment,No shortage of drugs,No comment,No comment,Provide transport to clinic,1.staffs are friendly 2.privacy 3.councelling,No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Secondary school,Single,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,No,0.2057,Positive,,Nothing,No charges,Nothing,Nothing,Do not know,Nothing,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Female,45-54,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.7775,Positive,"staff_attitude, medicines_supplies",No comment,Free medication,No comment,No comment,A steady supply of drugs.,"Clean facility, free drugs and professional staff.",No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,25-34,Primary school,Married,Unknown,Satisfied,No,No,Yes,Yes,Yes,No,-0.1537,Mixed / Neutral,access_cost,Do not know,Affordable,,Do not know,Nothing,No charges,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Primary school,Married,Unknown,Satisfied,Yes,Yes,Yes,Yes,Yes,Yes,0.6864,Positive,,Nothing,Free of charge,Nothing,Do not know,More employees,No charges,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Male,45-54,Secondary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.3769,Positive,"staff_attitude, medicines_supplies, food_transport_support",No comment,Friendly service providers,No comment,No comment,No comment,Regular health check-ups and nutritional supplements offered,No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,No,Yes,No,-0.1537,Mixed / Neutral,access_cost,Nothing,Affordable,Nothing,Do not know,Do not know,No charges,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Female,35-44,Secondary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.7028,Positive,"staff_attitude, food_transport_support",No comment,Free medication,No comment,No comment,Increase food support.,"Regular health check ups, free medication and professional staff",No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Kendu Sub-District Hospital,GOK,Female,25-34,Primary school,Married,Unknown,Satisfied,Yes,No,Yes,Yes,Yes,Yes,0.5046,Positive,medicines_supplies,Nothing,How we are handle,Nothing,More medicine required,More clinical officer's,Friendliness to client,Nothing else,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub-Couty Hospital,GOK,Female,45-54,Secondary school,Married,Unknown,Satisfied,Yes,Yes,Yes,No,Yes,No,0.3305,Positive,"staff_attitude, access_cost",Do not know,It was affordable,,Do not know,Employment of more providers,No charges,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Female,45-54,Secondary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.6571,Positive,"staff_attitude, food_transport_support, equipment_space",No comment,Professional health providers,No comment,No comment,No comment,"Availability of free medication, professional staff and food support provided",No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Malindi Sub-County Hospital,GOK,Female,35-44,Primary school,Married,Unknown,Satisfied,Yes,No,Yes,Yes,Yes,No,0.8519,Positive,"medicines_supplies, food_transport_support, equipment_space",Free and available services,ART medicine improving patient's health,Free and available services,Help patients manage their medication,Add more workforce at the facility,No comment,Food support,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Bora Bora Clinic,Private,Female,18-24,Secondary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,No,0.6124,Positive,,Nothing.,Good services and well treatment.,Nothing.,Nothing.,None.,Everything is ok.,She needs employed,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Female,45-54,Secondary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.8857,Positive,"staff_attitude, equipment_space",No comment,Friendly and caring staff,No comment,No comment,Steady supply of medical supplies and equipment,"Friendly staff, free medication and knowledgeable doctor.",No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,,Bora Bora Clinic,Private,Female,55-64,Nursery/Pre-school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,No,0.4929,Positive,,Nothing.,Good health since she joined ARV.,Nothing.,Nothing.,Nothing.,Everything is good.,She needs help on fee. Because she had 2 student in high school.,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Female,45-54,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.3971,Positive,wait_time,No comment,Regular health check-ups done,No comment,No comment,No comment,"Quick services, free medication, and regular health checkups.",No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Bora Bora Clinic,Private,Female,45-54,Primary school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,No,0.1068,Mixed / Neutral,"staff_attitude, wait_time",Nothing.,Fast services.,Nothing.,None.,Nothing.,Good services. Well treatment. Staff cares about clients.,Nothing.,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Asumbi Mission Hospital,FBO,Female,18-24,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,No,Yes,No,0.6987,Positive,"staff_attitude, food_transport_support",None,"Warm reception, hospitable environment",None,Nutritional support to new born on care,None,"Likes- friendly services, Dislikes- nutritional support",Thankful for care and treatment.,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Female,55-64,Never attended school,Widowed,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.7372,Positive,"staff_attitude, medicines_supplies, food_transport_support, equipment_space, counseling_mental_health",No comment,Availability of free drugs,No comment,No comment,Increase awareness about the services offered at the facility,"Professional staff, food support provided and excellent counseling service.",No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Bora Bora Clinic,Private,Female,25-34,Nursery/Pre-school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,No,0.8446,Positive,staff_attitude,Nothing.,Well encouraged and treated.,Nothing.,Nothing.,Nothing.,"Caring, well handled, good treatments and good advices and services.",Nothing.,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Asumbi Mission Hospital,FBO,Female,35-44,Nursery/Pre-school,Divorced,Unknown,Satisfied,No,Yes,Yes,No,Yes,Yes,-0.4459,Negative,"staff_attitude, wait_time",None,Quick services,None,None,None,"Likes- hospitality, reliable staff",No comments,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Bora Bora Clinic,Private,Male,18-24,Primary school,Single,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,No,0.6124,Positive,wait_time,Nothing.,Well treatment.,Nothing.,Nothing.,Nothing.,"They do fast services, good treatment and fast service.",Government to employe young youths who doesn't have work.,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Female,45-54,Never attended school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.765,Positive,"wait_time, counseling_mental_health",No comment,The treatment is effective.,No comment,Time management,Provide quick services,"Follow-up care provided, excellent counseling service, and regular health check up.",No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Drop In Centre Malindi _ICRH,DICE,Female,25-34,Secondary school,Single,Unknown,Very satisfied,No,No,Yes,Yes,Yes,Yes,0.7421,Positive,staff_attitude,No comments,The services are good,No comments,No comments,To get all services at this facility,The facility is clean and the staffs are friendly,No comments,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Bora Bora Clinic,Private,Female,35-44,Nursery/Pre-school,Widowed,Unknown,Satisfied,Yes,Other,Yes,Yes,Yes,No,-0.0253,Mixed / Neutral,"medicines_supplies, equipment_space",None.,She receives good services.,None.,Ask Government to bring enough equipments and drugs to this facility.,Nothing.,"She loves the services, treatments and the way she was handled.",She is requesting the Government to help those who have problems on paying bills of hospitals.,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Drop In Centre Malindi _ICRH,DICE,Female,35-44,University/College,Single,Unknown,Very satisfied,No,Yes,Yes,No,Yes,Yes,0.3769,Positive,"staff_attitude, wait_time, confidentiality_stigma",No comments,The services are faster,No comments,No comments,No comments,"The staffs are friendly, the privacy at the facility",No comments,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Drop In Centre Malindi _ICRH,DICE,Male,25-34,Secondary school,Separated,Unknown,Very satisfied,No,Yes,Yes,No,Yes,Yes,0.6458,Positive,"staff_attitude, wait_time",No comments,The services are faster,No comments,No comments,No comments,"The staffs are friendly, the facility is clean",No comments,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Primary school,Polygamous,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,-0.1537,Mixed / Neutral,access_cost,Nothing,Affordable cost,Nothing,Do not know,Do not know,No charges,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,No,Yes,No,0.2235,Positive,access_cost,Nothing,It was not costly,Nothing,Do not know,Do not know,Services are not charged,Nothing,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,25-34,Nursery/Pre-school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.0,Mixed / Neutral,access_cost,Nothing,Affordable,Nothing,Do not know,Nothing,Do not know,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Malindi Sub-County Hospital,GOK,Male,35-44,Primary school,Married,Unknown,Satisfied,Yes,No,Yes,Yes,Yes,Yes,-0.4946,Negative,medicines_supplies,No comment,ART medicine improving patient's health,No comment,Help patients manage their medication,Add more workforce at the facility,No comment,"Poor housing, unemployment",,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Male,55-64,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.7608,Positive,"staff_attitude, medicines_supplies, equipment_space",No comment,The staff members are very friendly,No comment,No comment,Increase number of ccc room.,"Free services, available of drugs and friendly staff",No comment,,,,
211.0,App quality feedback,Digital experience,2023-04-03 11:33:36,2023-04,Nyamira,46,,Unknown,Unknown,Female,18 to 30,Unknown,Unknown,Paralegal/Human Rights Activist,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Mixed / Neutral,,,,,,,,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Drop In Centre Malindi _ICRH,DICE,Female,45-54,Secondary school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,Yes,-0.34,Negative,"staff_attitude, wait_time, confidentiality_stigma",No comments,The privacy at the facility,No comments,To get all the services at this facility,No comments,"The services are faster ,the staff are friendly and the privacy",No comments,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Primary school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,No,0.0,Mixed / Neutral,access_cost,Nothing,Affordable,Nothing,Do not know,Do not know,Do not know,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Male,25-34,Decline to answer,Unknown,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,No,0.2057,Positive,"staff_attitude, wait_time",The service provider was slow,No charges,The service provider was slow,Sensitisation of providers,Do not know,Do not know,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Malindi Sub-County Hospital,GOK,Male,35-44,Primary school,Separated,Unknown,Satisfied,Yes,No,Yes,Yes,Yes,No,0.8625,Positive,"food_transport_support, equipment_space",Long queing,Free and available services,Long queing,Focus on patient engagement,"Improving patient follow up, offer patient education",No comment,Food support,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,25-34,Nursery/Pre-school,Married,Unknown,Very satisfied,No,Yes,Yes,Yes,Yes,No,0.6234,Positive,"staff_attitude, access_cost",Nothing,Friendly and affordable,Nothing,Do not know,Do not know,No chsrges6,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Kilifi,,WOFAK,Ganze health center,GOK,Male,55-64,Never attended school,Married,Unknown,Satisfied,No,Yes,Yes,Yes,Yes,Yes,0.8659,Positive,"staff_attitude, medicines_supplies, equipment_space",No comment,The services are available when needed.,No comment,No comment,Ensure that drugs are available,"Friendly staff, free services and excellent follow up care.",No comment,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Primary school,Married,Unknown,Satisfied,No,No,Yes,Yes,Yes,No,-0.1537,Mixed / Neutral,access_cost,Nothing,It was not expensive,Nothing,Nothing,Do not know,No charges,,,,,
238.0,CLM Feedback,Facility service experience,2023-04-03,2023-04,Homa Bay,,LARCOD,Suba Sub County Hospital,GOK,Female,18-24,Vocational training or technician,Single,Unknown,Satisfied,Unknown,Unknown,Unknown,Yes,No,Yes,0.0,Mixed / Neutral,equipment_space,Do not know,The service was unavailable,,,,Do not know,,,,,
238.0,CLM Feedback,Facility service experience,2023-03-29,2023-03,Homa Bay,,LARCOD,Nyarut Health Centre,GOK,Female,25-34,Nursery/Pre-school,Married,Unknown,Satisfied,No,Yes,Yes,No,Yes,Yes,0.8122,Positive,"staff_attitude, medicines_supplies, food_transport_support, equipment_space",None,Medicine are available,None,None,Relief food support,I like services and sisters here they're helpful and friendly,None,,,,
